"","country","ccode","year","Capacity","demo","lnpop","lngdp","polity2"
"3125","Niger",436,1969,-1.45669305324554,0,8.2712926864624,6.72383260726929,-0.699999988079071
"3126","Niger",436,1970,-1.55199670791626,0,8.30028057098389,6.73221063613892,-0.699999988079071
"3127","Niger",436,1971,-1.55615901947021,0,8.3253059387207,6.76503896713257,-0.699999988079071
"3128","Niger",436,1972,-1.62074744701385,0,8.34616756439209,6.68959903717041,-0.699999988079071
"3129","Niger",436,1973,-1.60840392112732,0,8.36753273010254,6.4800443649292,-0.699999988079071
"3130","Niger",436,1974,-1.60280621051788,0,8.40670871734619,6.54102993011475,-0.699999988079071
"3131","Niger",436,1975,-1.66667687892914,0,8.43402862548828,6.49072360992432,-0.699999988079071
"3132","Niger",436,1976,-1.20896077156067,0,8.46125793457031,6.47389078140259,-0.699999988079071
"3133","Niger",436,1977,-1.19790899753571,0,8.48879337310791,6.52502965927124,-0.699999988079071
"3134","Niger",436,1978,-1.15226662158966,0,8.51619243621826,6.62804126739502,-0.699999988079071
"3135","Niger",436,1979,-1.24441266059875,0,8.59507942199707,6.67329788208008,-0.699999988079071
"3136","Niger",436,1980,-1.09672057628632,0,8.62819766998291,6.69703435897827,-0.699999988079071
"3137","Niger",436,1981,-1.02208518981934,0,8.6618127822876,6.68586111068726,-0.699999988079071
"3138","Niger",436,1982,-1.17939364910126,0,8.69584178924561,6.64898443222046,-0.699999988079071
"3139","Niger",436,1983,-1.15729010105133,0,8.72988224029541,6.60665035247803,-0.699999988079071
"3140","Niger",436,1984,-1.29192090034485,0,8.76358413696289,6.39692974090576,-0.699999988079071
"3141","Niger",436,1985,-0.884440243244171,0,8.79618740081787,6.39024066925049,-0.699999988079071
"3142","Niger",436,1986,-0.663835167884827,0,8.82805442810059,6.41017484664917,-0.699999988079071
"3143","Niger",436,1987,-0.661251604557037,0,8.85893726348877,6.34913921356201,-0.699999988079071
"3144","Niger",436,1988,-0.627235114574432,0,8.88985919952393,6.37842607498169,-0.699999988079071
"3145","Niger",436,1989,-0.647185742855072,0,8.92105674743652,6.3526291847229,-0.699999988079071
"3146","Niger",436,1990,-0.495761930942535,0,8.95312309265137,6.30444860458374,-0.699999988079071
"3147","Niger",436,1991,-1.18857955932617,0,8.98619651794434,6.29894924163818,0.100000001490116
"3148","Niger",436,1992,-1.01088988780975,0,9.01978492736816,6.2005090713501,0.800000011920929
"3149","Niger",436,1993,-1.14437246322632,1,9.03145313262939,6.18208503723145,0.800000011920929
"3150","Niger",436,1994,-1.1479606628418,1,9.08783340454102,6.18826389312744,0.800000011920929
"3151","Niger",436,1995,-1.0444757938385,1,9.12172794342041,6.18001651763916,0.800000011920929
"3152","Niger",436,1996,-1.14265012741089,0,9.15546131134033,6.18001651763916,-0.600000023841858
"3153","Niger",436,1997,-1.1722172498703,0,9.18901443481445,6.17378616333008,-0.600000023841858
"3154","Niger",436,1998,-1.14537715911865,0,9.2182092666626,6.2383246421814,-0.600000023841858
"3155","Niger",436,1999,-1.13604772090912,1,9.24965763092041,6.19644403457642,0.5
"3156","Niger",436,2000,-1.13332068920135,1,9.28089237213135,6.14632940292358,0.5
"3157","Niger",436,2001,-1.109494805336,1,9.28117179870605,6.17794418334961,0.5
"3158","Niger",436,2002,-1.14896535873413,1,9.28145122528076,6.1717004776001,0.5
"3159","Niger",436,2003,-1.23407852649689,1,9.28173065185547,6.17794418334961,0.5
"3160","Niger",436,2004,-1.20723843574524,1,9.28201103210449,6.13122653961182,0.600000023841858
"3161","Niger",436,2005,-0.872527301311493,1,9.29242134094238,6.17586708068848,0.600000023841858
"3162","Niger",436,2006,-0.812244832515717,1,9.30548286437988,6.1944055557251,0.600000023841858
"3163","Niger",436,2007,-0.908266186714172,1,9.32162189483643,6.19031524658203,0.600000023841858
"3164","Niger",436,2008,-1.08624291419983,1,9.33913612365723,6.18953227996826,0.600000023841858
"3165","Niger",436,2009,-1.27771151065826,1,9.35766696929932,6.18868589401245,-0.300000011920929
"3166","Cote d'Ivoire",437,1960,-1.55242729187012,0,8.24275588989258,7.13568735122681,-0.899999976158142
"3167","Cote d'Ivoire",437,1961,-1.33053040504456,0,8.27664947509766,7.18992233276367,-0.899999976158142
"3168","Cote d'Ivoire",437,1962,-1.26264095306396,0,8.31066131591797,7.19668674468994,-0.899999976158142
"3169","Cote d'Ivoire",437,1963,-1.14896535873413,0,8.34545516967773,7.3078727722168,-0.899999976158142
"3170","Cote d'Ivoire",437,1964,-1.01376044750214,0,8.38114452362061,7.43129968643188,-0.899999976158142
"3171","Cote d'Ivoire",437,1965,-1.05107820034027,0,8.41803550720215,7.3658127784729,-0.899999976158142
"3172","Cote d'Ivoire",437,1966,-1.03127110004425,0,8.45616817474365,7.39510774612427,-0.899999976158142
"3173","Cote d'Ivoire",437,1967,-0.980461597442627,0,8.49515247344971,7.36137533187866,-0.899999976158142
"3174","Cote d'Ivoire",437,1968,-0.966682732105255,0,8.534836769104,7.45587682723999,-0.899999976158142
"3175","Cote d'Ivoire",437,1969,-0.988212168216705,0,8.5750846862793,7.44833374023438,-0.899999976158142
"3176","Cote d'Ivoire",437,1970,-0.836931943893433,0,8.61540794372559,7.49997663497925,-0.899999976158142
"3177","Cote d'Ivoire",437,1971,-0.808513045310974,0,8.65608501434326,7.4972071647644,-0.899999976158142
"3178","Cote d'Ivoire",437,1972,-0.830473124980927,0,8.69701194763184,7.50163459777832,-0.899999976158142
"3179","Cote d'Ivoire",437,1973,-0.750957667827606,0,8.73777389526367,7.5315523147583,-0.899999976158142
"3180","Cote d'Ivoire",437,1974,-0.599677383899689,0,8.77817153930664,7.51697731018066,-0.899999976158142
"3181","Cote d'Ivoire",437,1975,-0.693258762359619,0,8.81818580627441,7.47533941268921,-0.899999976158142
"3182","Cote d'Ivoire",437,1976,-0.761722385883331,0,8.85737323760986,7.54591798782349,-0.899999976158142
"3183","Cote d'Ivoire",437,1977,-0.615609169006348,0,8.89617729187012,7.55118703842163,-0.899999976158142
"3184","Cote d'Ivoire",437,1978,-0.397673755884171,0,8.937744140625,7.60539245605469,-0.899999976158142
"3185","Cote d'Ivoire",437,1979,-0.427901089191437,0,8.97727298736572,7.58528089523315,-0.899999976158142
"3186","Cote d'Ivoire",437,1980,-0.190330803394318,0,9.01127910614014,7.6211953163147,-0.899999976158142
"3187","Cote d'Ivoire",437,1981,-0.407074958086014,0,9.04970169067383,7.61775970458984,-0.899999976158142
"3188","Cote d'Ivoire",437,1982,-0.209204956889153,0,9.088059425354,7.58273839950562,-0.899999976158142
"3189","Cote d'Ivoire",437,1983,-0.220371574163437,0,9.13787746429443,7.506591796875,-0.899999976158142
"3190","Cote d'Ivoire",437,1984,-0.0460834987461567,0,9.16544723510742,7.43602800369263,-0.899999976158142
"3191","Cote d'Ivoire",437,1985,-0.138660132884979,0,9.2037181854248,7.44775104522705,-0.899999976158142
"3192","Cote d'Ivoire",437,1986,0.00199893768876791,0,9.24183940887451,7.44132041931152,-0.899999976158142
"3193","Cote d'Ivoire",437,1987,0.0186483785510063,0,9.2796802520752,7.38894605636597,-0.899999976158142
"3194","Cote d'Ivoire",437,1988,0.226335793733597,0,9.28887462615967,7.33498191833496,-0.899999976158142
"3195","Cote d'Ivoire",437,1989,0.0282648652791977,0,9.32910060882568,7.29301786422729,-0.899999976158142
"3196","Cote d'Ivoire",437,1990,-0.0516811572015285,0,9.36888122558594,7.17548990249634,-0.699999988079071
"3197","Cote d'Ivoire",437,1991,-0.289782524108887,0,9.40812492370605,7.13249778747559,-0.699999988079071
"3198","Cote d'Ivoire",437,1992,-0.484566628932953,0,9.44722938537598,7.10167598724365,-0.699999988079071
"3199","Cote d'Ivoire",437,1993,-0.341913908720016,0,9.48615264892578,7.06731986999512,-0.699999988079071
"3200","Cote d'Ivoire",437,1994,-0.652496337890625,0,9.52485942840576,7.05098962783813,-0.600000023841858
"3201","Cote d'Ivoire",437,1995,-0.540399670600891,0,9.56317806243896,7.08757352828979,-0.600000023841858
"3202","Cote d'Ivoire",437,1996,-0.529491424560547,0,9.60116577148438,7.13249778747559,-0.600000023841858
"3203","Cote d'Ivoire",437,1997,-0.584463238716125,0,9.56808471679688,7.16162204742432,-0.600000023841858
